date,open,high,low,close,bartype,highs,lows,sh,sl
2025-06-02,77.15,77.825,76.825,77.2,DB,,,,72.975
2025-06-03,77.125,78.275,76.55,76.8,OSB,78.275,,,72.975
2025-06-04,76.85,78.075,76.65,77.25,ISB,,,,72.975
2025-06-05,77.45,77.725,76.15,77.025,DB,,76.15,,72.975
2025-06-06,77.35,79.5,77.2,79.325,DB,,,,72.975
2025-06-09,79.325,79.875,78.65,79.425,DB,,,,76.15
2025-06-10,79.375,80.65,79.225,80.425,DB,,,,76.15
2025-06-11,80.725,81.85,80.45,81.075,DB,81.85,,,76.15
2025-06-12,81.075,81.85,80.8,81.125,ISB,,,,76.15
2025-06-13,81.05,81.75,79.95,81.7,DB,,79.95,,76.15
2025-06-16,82.375,84.275,82.1,84.025,DB,,,,76.15
2025-06-17,84.325,84.725,83.525,83.875,DB,,,,79.95
2025-06-18,84.475,85.125,83.425,84.4,OSB,,,,79.95
2025-06-20,84.4,85.25,83.925,85,DB,,,,79.95
2025-06-23,85.45,85.925,84.825,85.675,DB,85.925,,,79.95
2025-06-24,85.75,85.75,83.375,83.575,DB,,,,79.95
2025-06-25,83.375,84.4,82.75,83.85,DB,,,,79.95
2025-06-26,84.075,84.1,82.775,82.875,ISB,,,,79.95
2025-06-27,81.575,83.125,80.875,82.9,DB,,,,79.95
2025-06-30,81.9,82.1,79.9,80.125,DB,,,85.925,79.95
2025-07-01,80.075,80.65,79.075,79.575,DB,,,85.925,
2025-07-02,79.225,80.975,78.85,80.525,OSB,,,85.925,
2025-07-03,80.05,80.3,78.325,78.725,DB,,,85.925,
2025-07-07,78.375,80.35,78.125,79.725,OSB,,78.125,85.925,
2025-07-08,80.225,80.45,79.075,79.4,DB,80.45,,85.925,
2025-07-09,79.15,80.4,79,79.85,DB,,79,85.925,
2025-07-10,80.075,80.775,78.475,78.85,OSB,80.775,,80.45,78.125
2025-07-11,79.425,80.025,77.175,77.3,DB,,,80.775,78.125
2025-07-14,77.475,77.5,75.325,75.85,DB,,75.325,80.775,
2025-07-15,76.5,76.85,75.375,76.55,ISB,,,80.775,
2025-07-16,77.175,78.1,76.9,77.05,DB,,,80.775,
2025-07-17,77.625,78.7,77.3,78.45,DB,,,80.775,
2025-07-18,79.1,79.225,78.2,79.1,DB,,,80.775,
2025-07-21,79.475,80.05,78.5,79.975,DB,,,80.775,
2025-07-22,80.4,80.675,79.875,80.375,DB,,,80.775,
2025-07-23,80.375,81.2,79.625,81.1,OSB,,,80.775,75.325
2025-07-24,81.075,82.175,80.275,81.3,DB,82.175,,,75.325
2025-07-25,81.125,81.375,79.65,80.8,DB,,,,75.325
2025-07-28,81.2,81.2,80.1,81.075,ISB,,,,75.325
2025-07-29,80.675,80.675,78.525,78.925,DB,,,,75.325
2025-07-30,78.75,79.9,78.225,79.4,DB,,78.225,,75.325
2025-07-31,79.6,80.425,79,79.775,DB,80.425,,,75.325
2025-08-01,79.45,80.6,78.125,80.25,OSB,,78.125,82.175,78.225
