date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,491.4,495.6,491.0,493.1,298000,DB,495.6,495.6,,high,,0,,,,,,,,,,,
2025-12-01 09:30:00,493.1,493.35,491.5,492.4,86000,ISB,,,,,,0,,,,,,1.0,495.6,495.6,,,
2025-12-01 09:45:00,492.4,493.0,490.05,490.25,79000,DB,,,,,,0,,,,,,1.0,495.6,495.6,,,
2025-12-01 10:00:00,490.25,492.0,490.25,490.75,58000,ISB,,,,,,0,,,,,,1.0,495.6,495.6,,,
2025-12-01 10:15:00,490.75,491.35,490.65,491.0,24000,ISB,,,,,,0,,,,,,1.0,495.6,495.6,,,
2025-12-01 10:30:00,491.0,491.85,490.3,491.0,40000,ISB,,,,,,1,,,,,,1.0,495.6,495.6,,,
2025-12-01 10:45:00,491.0,491.0,489.8,490.4,78000,DB,,,,,,1,,,,,,1.0,495.6,495.6,,,
2025-12-01 11:00:00,490.4,490.4,489.25,489.45,68000,DB,489.25,,489.25,low,,0,,,,,,1.0,495.6,495.6,,,
2025-12-01 11:15:00,489.45,490.7,489.45,490.7,37000,DB,490.7,490.7,,high,,0,,,,,,1.0,495.6,490.7,,,
2025-12-01 11:30:00,490.7,491.5,489.1,489.1,61000,OSB,491.5,491.5,,high,,0,,,,,,1.0,490.7,,489.25,490.7,490.7
2025-12-01 11:45:00,489.1,489.1,487.8,488.75,102000,DB,,,,,,0,,,,,,-1.0,489.25,491.5,,489.25,489.25
2025-12-01 12:00:00,488.75,488.75,487.35,487.6,38000,DB,,,,,,0,,,,,,1.0,491.5,491.5,,,
2025-12-01 12:15:00,487.6,489.85,487.1,488.5,143000,OSB,487.1,,487.1,low,,1,,,,,,1.0,491.5,491.5,,,
2025-12-01 12:30:00,488.5,489.25,488.0,489.15,230000,ISB,,,,,,1,,,,,,1.0,491.5,491.5,,,
2025-12-01 12:45:00,489.15,493.35,489.15,492.55,115000,DB,,,,,,0,,,,,,1.0,491.5,,487.1,491.5,491.5
2025-12-01 13:00:00,492.55,493.1,491.65,493.1,98000,ISB,,,,,,0,,,,,,-1.0,487.1,,487.1,,
2025-12-01 13:15:00,493.1,493.4,492.55,492.7,81000,DB,,,,,,0,,,,,,-1.0,487.1,,487.1,,
2025-12-01 13:30:00,492.7,493.5,492.4,493.5,42000,OSB,,,,,,1,,,,,,-1.0,487.1,,487.1,,
2025-12-01 13:45:00,493.5,494.55,493.25,494.0,127000,DB,,,,,,0,,,,,,-1.0,487.1,,487.1,,
2025-12-01 14:00:00,494.0,495.6,493.8,495.25,231000,DB,495.6,495.6,,high,0.2927814235234707,0,,,,,,-1.0,487.1,,487.1,,
2025-12-01 14:15:00,495.25,495.6,494.7,495.5,56000,ISB,,,,,0.16145307769929595,0,,,,,,-1.0,487.1,,487.1,,
2025-12-01 14:30:00,495.5,495.5,492.35,492.85,86000,DB,,,,,0.10145074566298062,0,,,,,,-1.0,487.1,,487.1,,
2025-12-01 14:45:00,492.85,494.5,491.15,491.95,364000,DB,491.15,,491.15,low,0.16261815225124737,0,,,,,,-1.0,487.1,,491.15,,
2025-12-01 15:00:00,491.95,494.6,491.9,493.95,334000,DB,,,,,0.41502176333637236,0,,,,,,-1.0,491.15,,491.15,,
2025-12-01 15:15:00,493.95,494.65,492.4,492.4,193000,DB,494.65,494.65,,high,0.0,1,,,,,,-1.0,491.15,,491.15,,
2025-12-02 09:15:00,492.0,493.15,488.35,490.7,273000,DB,,,,,0.47890768290196983,1,,,,,,-1.0,491.15,494.65,,491.15,491.15
2025-12-02 09:30:00,490.7,491.45,489.9,490.2,76000,ISB,,,,,0.06119951040391909,0,,,,,,1.0,494.65,494.65,,,
2025-12-02 09:45:00,490.2,491.1,490.05,490.6,64000,ISB,,,,,0.13246382718564853,1,,,,,,1.0,494.65,494.65,,,
2025-12-02 10:00:00,490.6,491.6,490.35,490.9,50000,ISB,,,,,0.11203911183539511,1,,,,,,1.0,494.65,494.65,,,
2025-12-02 10:15:00,490.9,491.35,490.25,490.85,41000,ISB,,,,,0.12223693592747738,1,,,,,,1.0,494.65,494.65,,,
2025-12-02 10:30:00,490.85,491.85,490.7,490.7,45000,ISB,,,,,0.0,1,,,,,,1.0,494.65,494.65,,,
2025-12-02 10:45:00,490.7,491.6,490.25,491.3,21000,ISB,,,,,0.21371870547527202,1,,,,,,1.0,494.65,494.65,,,
2025-12-02 11:00:00,491.3,491.5,490.4,490.4,41000,ISB,,,,,0.0,1,,,,,,1.0,494.65,494.65,,,
2025-12-02 11:15:00,490.4,490.7,487.7,488.05,158000,DB,,,,,1.0951125532346448,0,,,,,,1.0,494.65,494.65,,,
2025-12-02 11:30:00,488.05,488.65,485.0,485.25,233000,DB,,,,,1.6426688298519616,0,,,,,,1.0,494.65,494.65,,,
2025-12-02 11:45:00,485.25,486.5,484.9,485.75,140000,DB,484.9,,484.9,low,2.1392532795156454,0,,,,,,1.0,494.65,494.65,,,
