date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,5220.5,5220.5,5197.0,5203.0,15375,DB,5220.5,5220.5,,high,,0,,,,,,,,,,,
2025-12-01 09:30:00,5203.0,5210.0,5195.5,5199.0,7375,DB,,,,,,0,,,,,,1.0,5220.5,5220.5,,,
2025-12-01 09:45:00,5199.0,5199.0,5184.0,5186.0,9500,DB,,,,,,0,,,,,,1.0,5220.5,5220.5,,,
2025-12-01 10:00:00,5186.5,5197.0,5183.0,5193.5,5000,DB,5183.0,,5183.0,low,,0,,,,,,1.0,5220.5,5220.5,,,
2025-12-01 10:15:00,5193.5,5200.0,5187.5,5200.0,7500,DB,,,,,,1,,,,,,1.0,5220.5,5220.5,,,
2025-12-01 10:30:00,5200.0,5201.0,5190.0,5199.0,3375,DB,5201.0,5201.0,,high,,0,,,,,,1.0,5220.5,5201.0,,,
2025-12-01 10:45:00,5199.0,5199.0,5182.0,5184.5,2750,DB,5182.0,,5182.0,low,,0,,,,,,1.0,5201.0,5201.0,,,
2025-12-01 11:00:00,5184.5,5199.0,5184.0,5198.0,5000,ISB,,,,,,0,,,,,,1.0,5201.0,5201.0,,,
2025-12-01 11:15:00,5198.0,5207.0,5197.0,5205.0,5750,DB,,,,,,0,,,,,,1.0,5201.0,,5182.0,5201.0,5201.0
2025-12-01 11:30:00,5205.0,5210.5,5191.0,5191.0,7500,OSB,5210.5,5210.5,,high,,0,,,,,,-1.0,5182.0,,5182.0,,
2025-12-01 11:45:00,5191.0,5193.5,5180.5,5182.0,3625,DB,,,,,,0,,,,,,-1.0,5182.0,5210.5,,5182.0,5182.0
2025-12-01 12:00:00,5182.0,5183.5,5176.0,5182.0,7750,DB,,,,,,0,,,,,,1.0,5210.5,5210.5,,,
2025-12-01 12:15:00,5182.0,5190.0,5173.5,5185.0,7625,OSB,,,,,,1,,,,,,1.0,5210.5,5210.5,,,
2025-12-01 12:30:00,5185.0,5185.0,5169.5,5173.5,10500,DB,5169.5,,5169.5,low,,1,,,,,,1.0,5210.5,5210.5,,,
2025-12-01 12:45:00,5173.5,5210.0,5172.0,5207.5,41625,DB,,,,,,0,,,,,,1.0,5210.5,5210.5,,,
2025-12-01 13:00:00,5207.5,5207.5,5194.5,5197.0,6625,ISB,,,,,,0,,,,,,1.0,5210.5,5210.5,,,
2025-12-01 13:15:00,5197.0,5214.0,5193.0,5201.0,9125,DB,5214.0,5214.0,,high,,0,,,,,,1.0,5210.5,,5169.5,5210.5,5210.5
2025-12-01 13:30:00,5201.0,5207.5,5196.5,5207.5,6250,ISB,,,,,,1,,,,,,-1.0,5169.5,,5169.5,,
2025-12-01 13:45:00,5207.5,5210.0,5201.0,5201.5,4250,ISB,,,,,,1,,,,,,-1.0,5169.5,,5169.5,,
2025-12-01 14:00:00,5201.5,5209.0,5201.5,5204.0,3375,ISB,,,,,0.048039969254419675,1,,,,,,-1.0,5169.5,,5169.5,,
2025-12-01 14:15:00,5204.0,5206.0,5200.0,5203.0,2500,ISB,,,,,0.05765904285988853,1,,,,,,-1.0,5169.5,,5169.5,,
2025-12-01 14:30:00,5203.0,5210.0,5199.0,5204.5,4750,ISB,,,,,0.1056777788452301,1,,,,,,-1.0,5169.5,,5169.5,,
2025-12-01 14:45:00,5204.5,5204.5,5186.5,5192.5,7750,DB,5186.5,,5186.5,low,0.25961538461538464,0,,,,,,-1.0,5169.5,,5186.5,,
2025-12-01 15:00:00,5192.5,5208.5,5192.5,5208.0,7125,DB,,,,,0.2976190476190476,0,,,,,,-1.0,5186.5,,5186.5,,
2025-12-01 15:15:00,5207.5,5208.5,5201.0,5201.0,14750,ISB,,,,,0.0,0,,,,,,-1.0,5186.5,,5186.5,,
2025-12-02 09:15:00,5205.0,5220.0,5193.0,5211.0,20625,DB,,,,,0.3454231433506045,0,,,,,,-1.0,5186.5,,5186.5,,
2025-12-02 09:30:00,5211.0,5216.5,5202.0,5209.0,12000,ISB,,,,,0.13438279900172778,1,,,,,,-1.0,5186.5,,5186.5,,
2025-12-02 09:45:00,5209.0,5220.5,5200.5,5202.0,11750,DB,5220.5,5220.5,,high,0.08645533141210375,1,,,,,,-1.0,5186.5,,5186.5,,
2025-12-02 10:00:00,5202.0,5206.0,5195.5,5203.5,6750,DB,5195.5,,5195.5,low,0.1537426732007303,1,,,,,,-1.0,5186.5,,5195.5,,
2025-12-02 10:15:00,5203.5,5216.5,5199.5,5213.0,9000,DB,,,,,0.25896796470362554,1,,,,,,-1.0,5195.5,,5195.5,,
2025-12-02 10:30:00,5213.0,5219.0,5208.0,5212.0,9125,DB,,,,,0.07674597083653108,1,,,,,,-1.0,5195.5,,5195.5,,
2025-12-02 10:45:00,5212.0,5245.0,5212.0,5234.0,29750,DB,5245.0,5245.0,,high,0.42032862055789066,0,,,,,,-1.0,5195.5,,5195.5,,
2025-12-02 11:00:00,5234.0,5234.0,5223.0,5223.0,8375,ISB,,,,,0.0,0,,,,,,-1.0,5195.5,,5195.5,,
2025-12-02 11:15:00,5223.0,5224.0,5209.0,5212.0,13125,DB,5209.0,,5209.0,low,0.05755947812739831,0,,,,,,-1.0,5195.5,,5209.0,,
2025-12-02 11:30:00,5214.0,5226.5,5212.5,5215.0,8875,DB,5226.5,5226.5,,high,0.047938638542665384,0,,,,,,-1.0,5209.0,,5209.0,,
2025-12-02 11:45:00,5215.0,5219.5,5193.0,5194.0,13375,DB,,,,,0.2784445511281805,0,,,,,,-1.0,5209.0,5226.5,,5209.0,5209.0
2025-12-02 12:00:00,5194.0,5202.5,5191.0,5194.5,7750,DB,,,,,0.31685069611137784,0,,,,,,1.0,5226.5,5226.5,,,
2025-12-02 12:15:00,5194.5,5201.5,5187.5,5196.5,7750,DB,5187.5,,5187.5,low,0.3170637970791699,0,,,,,,1.0,5226.5,5226.5,,,
2025-12-02 12:30:00,5196.5,5203.0,5194.0,5200.0,6000,DB,,,,,0.1921598770176787,1,,,,,,1.0,5226.5,5226.5,,,
2025-12-02 12:45:00,5200.0,5209.5,5197.0,5209.5,5750,DB,,,,,0.23994625203954315,0,,,,,,1.0,5226.5,5226.5,,,
2025-12-02 13:00:00,5209.5,5211.0,5199.5,5204.0,11375,DB,5211.0,5211.0,,high,0.09607070804111825,0,,,,,,1.0,5226.5,5211.0,,,
2025-12-02 13:15:00,5204.0,5208.0,5196.0,5205.5,8250,DB,5208.0,5208.0,,high,0.1824992796081068,1,,,,,,1.0,5211.0,5208.0,,,
2025-12-02 13:30:00,5205.5,5206.5,5199.0,5201.0,5250,ISB,,,,,0.1728110599078341,1,,,,,,1.0,5208.0,5208.0,,,
2025-12-02 13:45:00,5201.0,5233.5,5201.0,5229.5,15000,DB,5233.5,5233.5,,high,0.5449851802275552,0,,,,,,1.0,5208.0,,5187.5,5208.0,5208.0
2025-12-02 14:00:00,5229.5,5232.0,5220.5,5220.5,8000,ISB,,,,,0.0,0,,,,,,-1.0,5187.5,,5187.5,,
2025-12-02 14:15:00,5220.5,5226.0,5220.0,5225.0,6500,ISB,,,,,0.09569377990430622,0,,,,,,-1.0,5187.5,,5187.5,,
2025-12-02 14:30:00,5225.0,5225.0,5202.5,5209.0,11875,ISB,,,,,0.1247840276444615,0,,,,,,-1.0,5187.5,,5187.5,,
2025-12-02 14:45:00,5209.0,5209.5,5179.0,5189.0,19625,DB,5179.0,,5179.0,low,0.652215614809131,0,,,,,,-1.0,5187.5,5233.5,,5187.5,5187.5
2025-12-02 15:00:00,5190.0,5214.5,5190.0,5210.5,19250,DB,,,,,0.4412046806061769,0,,,,,,1.0,5233.5,5233.5,,,
2025-12-02 15:15:00,5212.0,5215.5,5208.5,5212.5,16750,DB,5215.5,5215.5,,high,0.07673860911270983,0,,,,,,1.0,5233.5,5215.5,,,
2025-12-03 09:15:00,5202.5,5206.5,5176.5,5182.5,8375,DB,,,,,1.0985861673672144,0,,,,,,1.0,5215.5,5215.5,,,
2025-12-03 09:30:00,5182.5,5184.5,5167.0,5171.5,14750,DB,,,,,1.0721807390388665,0,,,,,,1.0,5215.5,5215.5,,,
2025-12-03 09:45:00,5171.5,5171.5,5161.0,5166.0,7875,DB,,,,,1.0354745925215725,0,,,,,,1.0,5215.5,5215.5,,,
2025-12-03 10:00:00,5166.0,5169.5,5145.0,5146.0,15375,DB,,,,,1.342281879194631,0,,,,,,1.0,5215.5,5215.5,,,
2025-12-03 10:15:00,5146.0,5147.0,5128.5,5128.5,13375,DB,,,,,1.5548517132162396,0,,,,,,1.0,5215.5,5215.5,,,
